YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
2,3,5,3,1,0,0,0,9,2,1,0,7,0,1,1,3,3,7,0,0,3,2,2,2,2,8,8,2,2,1,0,0,1,1,0,0,6,0,0,0,0,0,1,3,0,0,0,0,12,3,1,0,0,0,0,0,1,2,2,61.5,1,82500,0,1200,1200,400,4647,0.51
7,3,5,4,2,0,1,1,1,4,0,1,1,1,1,1,3,4,7,1,3,3,3,6,3,4,2,4,5,5,1,1,0,1,0,0,1,6,0,0,6,3,1,4,3,0,0,21,0,12,3,1,0,0,0,1,1,1,4,3,25.666666666666668,0,72500,0,4998,3561,3561,13559,0.41
3,1,5,3,1,1,1,0,6,1,0,0,7,0,1,2,3,3,17,1,1,7,3,4,2,1,12,12,1,1,0,0,0,1,0,0,0,2,0,0,5,3,0,3,3,1,0,25,1,22,4,1,0,0,0,0,0,1,1,2,79,1,32500,0,2081,480,1201,11481,0.47
4,6,0,0,1,0,0,0,6,0,0,1,10,0,1,1,4,3,7,0,1,0,0,1,2,2,8,2,2,10,2,0,0,1,0,0,0,1,1,1,1,3,0,0,0,0,0,10.5,0,7,4,1,0,0,1,0,1,4,4,2,32.5,0,57500,0,638,638,638,7852,0.62
7,1,5,4,2,0,0,1,1,2,0,0,18,1,0,1,4,3,3,0,3,7,3,2,2,1,2,2,3,5,5,5,2,1,0,0,0,6,0,1,0,0,0,3,2,1,0,10.5,0,12,3,0,0,1,1,1,0,4,5,3,22.333333333333332,0,2000,1,2552,2552,0,15459,0.42
1,3,0,3,1,0,0,1,1,2,0,0,7,1,1,1,1,3,22,0,1,0,0,3,3,1,4,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,4,1,0,1,0,1,0,6,1,4,55,0,8750,1,1177,1177,235,7770,0.48
2,2,2,3,1,0,0,1,9,2,1,0,10,1,0,1,1,4,2,1,0,3,3,2,3,2,4,4,1,5,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,22,4,1,0,0,0,1,0,1,2,3,64,1,8750,1,2775,1850,0,10805,0.61
2,3,5,3,1,0,0,0,0,4,1,0,7,0,1,1,5,4,7,1,3,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,1,0,0,0,1,1,0,0,0,0,12,4,0,0,0,1,0,0,1,1,1,49,0,12500,1,1699,1699,566,11162,0.51
2,3,5,2,1,0,0,1,9,3,0,0,5,1,0,1,3,4,7,1,5,3,3,1,3,3,4,4,1,5,0,0,0,1,0,0,1,5,0,1,5,2,1,5,1,0,0,47,0,7,3,0,0,1,1,1,1,2,2,2,44,0,87500,0,834,834,834,21857,0.46
5,4,6,3,2,0,1,1,16,3,0,0,10,1,1,1,3,4,3,0,3,3,3,2,2,1,4,4,2,8,5,0,6,1,1,0,1,8,0,1,8,3,1,4,2,0,0,2.5,1,12,4,0,0,1,1,1,0,1,5,2,67,1,52500,0,3132,2732,3132,11963,0.37
