YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
4,1,0,2,1,1,0,1,0,4,0,0,3,1,0,1,1,3,2,0,0,0,0,2,1,1,12,12,0,0,0,0,0,0,0,1,0,5,0,1,5,1,1,0,0,0,0,0,0,4,4,0,0,1,1,1,0,2,1,1,60,0,8750,1,943,943,943,8588,0.5
6,2,2,3,2,1,0,0,1,2,1,1,7,0,1,1,4,4,12,0,1,3,3,3,3,1,2,4,3,2,2,1,1,1,0,1,6,5,0,0,5,2,1,3,1,0,0,54,0,18,3,1,0,0,0,0,1,4,5,4,30.5,0,47500,0,2784,1856,1856,6055,0.51
6,3,6,5,3,1,1,0,6,4,1,0,7,0,0,2,4,3,12,1,8,7,3,6,3,2,4,8,4,10,8,2,1,1,0,1,0,12,0,0,12,1,1,6,3,0,0,13,1,30,3,1,0,0,0,0,2,1,1,5,31,0,110000,0,4295,3645,3645,12005,0.63
8,3,5,3,2,0,0,1,16,2,1,0,10,1,1,1,3,3,3,0,8,3,3,3,3,3,2,8,2,2,1,0,1,0,0,0,2,6,1,1,6,2,1,2,3,1,0,79.5,0,18,3,0,0,1,1,1,1,1,2,4,17.25,0,32500,1,1568,1568,1568,20893,0.53
5,4,6,3,2,0,1,0,9,3,0,1,5,0,0,1,4,3,7,0,5,13,2,2,2,2,4,4,0,0,0,0,0,0,0,0,6,5,0,0,5,3,1,5,3,0,1,74,1,7,2,1,0,1,0,0,1,1,2,4,18.75,0,57500,0,1920,1520,1520,11441,0.56
1,1,6,1,1,0,0,0,0,3,0,1,5,0,0,1,4,3,12,0,0,0,0,1,2,1,2,2,1,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,29,0,4,4,1,0,0,1,0,1,1,2,2,49.5,0,77500,0,499,499,0,5703,0.6
1,1,5,3,1,0,0,1,28,2,1,0,7,1,0,1,3,4,12,0,0,3,3,3,2,1,2,4,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,1,3,0,0,18.5,0,12,2,1,0,1,1,1,1,2,2,3,26,0,17500,1,1728,1440,576,32698,0.53
1,3,5,3,1,0,0,1,16,2,0,0,10,1,0,1,3,4,12,0,3,3,3,2,2,1,12,12,1,2,0,0,1,0,0,1,2,5,0,0,0,0,0,1,3,1,0,13,0,12,2,1,0,0,0,1,1,1,2,3,44.66666667,0,27500,0,1411,979,0,3961,0.54
1,0,6,3,1,0,0,1,6,4,0,0,7,1,0,1,4,2,12,0,0,3,3,2,1,1,8,8,1,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,21,0,12,3,1,0,0,0,1,0,1,5,3,56.33333333,1,92500,0,2430,1620,270,3267,0.65
5,0,5,3,2,0,1,1,9,3,1,1,7,0,1,1,3,5,12,0,5,7,3,3,2,1,4,8,2,2,2,0,1,0,0,1,0,6,0,0,4,3,1,1,0,1,0,54,0,12,3,1,0,0,0,1,2,1,7,2,38.5,0,110000,0,2850,2450,1633,12370,0.44
