YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
6,3,5,2,1,1,0,1,9,2,0,0,7,1,0,1,4,4,7,0,0,7,3,2,2,2,12,12,0,0,0,0,0,0,0,0,0,5,1,0,5,3,0,1,3,0,0,5,0,7,3,1,0,0,0,1,1,2,2,3,10,0,22500,1,914,914,914,11236,0.43
5,1,5,3,2,0,1,0,6,2,0,0,5,0,0,1,3,4,2,0,5,7,3,3,3,2,8,12,2,5,10,0,1,0,0,0,2,8,0,0,8,3,1,3,3,1,0,20.5,0,18,3,1,0,0,0,0,1,1,6,3,26.33333333,0,57500,0,2168,1768,1768,13001,0.53
6,3,5,4,2,1,1,1,6,3,1,0,7,1,1,2,5,4,2,1,8,13,3,2,3,2,2,2,1,2,0,0,1,0,0,0,6,8,1,0,8,2,0,7,3,1,0,5,1,18,4,1,0,1,0,1,0,1,4,5,16,0,47500,0,4648,4248,4248,10083,0.55
2,3,6,3,1,0,0,1,9,1,0,0,18,1,0,1,3,4,7,0,0,7,3,5,3,2,4,4,1,5,0,0,1,0,0,1,2,6,0,1,6,1,0,0,0,0,0,84,0,12,3,1,0,1,1,1,1,2,2,4,16.5,0,22500,1,771,771,771,13704,0.58
3,4,1,5,3,0,1,0,0,2,0,1,7,0,1,2,3,5,3,1,8,16,3,5,3,4,4,4,4,10,2,2,1,0,0,0,10,11,0,0,11,1,1,9,3,0,0,70,1,12,2,1,1,0,0,1,0,1,3,3,46.33333333,1,130000,0,5346,4946,4946,20226,0.32
5,4,0,2,2,0,0,1,9,4,1,0,7,1,1,1,5,5,7,0,1,3,3,1,1,1,2,2,3,5,1,5,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,36.5,1,4,4,1,0,1,0,1,1,3,5,2,41,0,130000,0,1012,1012,0,2591,0.61
6,1,0,2,1,0,0,1,3,2,0,1,3,1,1,1,4,3,7,0,3,0,0,2,3,2,8,8,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,1,3,0,0,2.5,0,4,4,0,0,1,0,1,0,1,1,1,78,1,22500,0,976,976,244,2819,0.54
2,3,5,3,1,0,0,1,0,4,1,0,1,1,0,1,4,3,7,0,0,3,3,1,3,2,1,4,1,1,0,0,0,0,0,0,0,5,0,0,5,1,1,6,2,0,0,2.5,0,12,3,1,0,1,0,1,1,1,2,1,20,0,3750,1,1710,1710,1710,20809,0.69
1,2,6,3,1,0,0,0,6,3,1,0,18,0,1,1,3,4,3,2,8,13,3,7,2,2,12,12,4,10,2,2,1,0,0,1,10,6,0,0,6,2,1,5,1,1,0,17.5,0,12,4,1,0,1,0,0,2,1,3,6,36.33333333,0,130000,0,1909,1595,1595,14817,0.55
6,2,5,3,2,0,0,1,1,1,0,0,18,1,0,1,3,4,3,0,0,3,3,4,2,1,8,1,1,5,0,0,1,0,0,0,0,6,0,1,6,1,1,2,1,0,1,0,1,12,4,0,0,1,1,1,1,1,1,5,22,0,12500,1,2805,2805,2805,22774,0.36
